filename,start,duration,score
Raw_Wav_20180223_001026.wav,3,4,0.825744508
Raw_Wav_20180223_001026.wav,8.5,3,0.768849121
Raw_Wav_20180223_001026.wav,19,4,0.813531079
Raw_Wav_20180223_001026.wav,30,1.5,0.607724478
Raw_Wav_20180223_001026.wav,50,3,0.741813118
Raw_Wav_20180223_001026.wav,60,4,0.825358624
Raw_Wav_20180223_001026.wav,70,4,0.807666086
Raw_Wav_20180223_001026.wav,80.5,3.5,0.777013487
Raw_Wav_20180223_001026.wav,91,2.5,0.704980727
Raw_Wav_20180223_001026.wav,99,4.5,0.743341349
Raw_Wav_20180223_001026.wav,110.5,5.5,0.834588288
Raw_Wav_20180223_001026.wav,118.5,6,0.789492043
Raw_Wav_20180223_001026.wav,156.5,2.5,0.725074871
Raw_Wav_20180223_001026.wav,164,3,0.796615337
Raw_Wav_20180223_001026.wav,173.5,2.5,0.774651373
Raw_Wav_20180223_001026.wav,182.5,3,0.802432308
Raw_Wav_20180223_001026.wav,192,3.5,0.748401218
Raw_Wav_20180223_001026.wav,196.5,0.5,0.526379398
Raw_Wav_20180223_001026.wav,204.5,2,0.581088886
Raw_Wav_20180223_001026.wav,212,3,0.820322528
Raw_Wav_20180223_001026.wav,225.5,3.5,0.726520568
Raw_Wav_20180223_001026.wav,235.5,5,0.801971581
Raw_Wav_20180223_001026.wav,243.5,2.5,0.678321996
Raw_Wav_20180223_001026.wav,247.5,2.5,0.75363508
Raw_Wav_20180223_001026.wav,254,2,0.760368533
Raw_Wav_20180223_001026.wav,256,2.5,0.830886394
Raw_Wav_20180223_001026.wav,262.5,7.5,0.758734636
Raw_Wav_20180223_001026.wav,274.5,4.5,0.685529508
Raw_Wav_20180223_001026.wav,283.5,3,0.788146737
Raw_Wav_20180223_001026.wav,290,2.5,0.660983481
Raw_Wav_20180223_001026.wav,296,3,0.763836432
Raw_Wav_20180223_001026.wav,306.5,3,0.811169876
Raw_Wav_20180223_001026.wav,311.5,7,0.698995948
Raw_Wav_20180223_001026.wav,322,0.5,0.558517495
Raw_Wav_20180223_001026.wav,325,3,0.794631869
Raw_Wav_20180223_001026.wav,331.5,6.5,0.77974791
Raw_Wav_20180223_001026.wav,342.5,1.5,0.642843165
Raw_Wav_20180223_001026.wav,345.5,2.5,0.781890321
Raw_Wav_20180223_001026.wav,355,2.5,0.704447707
Raw_Wav_20180223_001026.wav,371,3,0.802034943
Raw_Wav_20180223_001026.wav,380,3,0.763343554
Raw_Wav_20180223_001026.wav,391,2,0.714844572
Raw_Wav_20180223_001026.wav,395.5,3,0.775940551
Raw_Wav_20180223_001026.wav,417,2.5,0.692289811
Raw_Wav_20180223_001026.wav,433.5,3,0.809608896
Raw_Wav_20180223_001026.wav,444,2.5,0.651945508
Raw_Wav_20180223_001026.wav,453,3.5,0.830481298
Raw_Wav_20180223_001026.wav,463,4.5,0.835954047
Raw_Wav_20180223_001026.wav,474.5,5,0.721618192
Raw_Wav_20180223_001026.wav,503,4.5,0.807100254
Raw_Wav_20180223_001026.wav,518,1,0.529626685
Raw_Wav_20180223_001026.wav,519.5,1,0.520306836
Raw_Wav_20180223_001026.wav,521,6,0.736396862
Raw_Wav_20180223_001026.wav,534,4,0.760214487
Raw_Wav_20180223_001026.wav,539,3,0.786571817
Raw_Wav_20180223_001026.wav,545,1.5,0.551291496
Raw_Wav_20180223_001026.wav,549,3,0.712192579
Raw_Wav_20180223_001026.wav,554.5,2.5,0.781173423
Raw_Wav_20180223_001026.wav,565,2.5,0.742267378
Raw_Wav_20180223_001026.wav,570.5,1,0.531195801
Raw_Wav_20180223_001026.wav,574,2,0.677475095
Raw_Wav_20180223_001026.wav,579,2,0.681837814
Raw_Wav_20180223_001026.wav,585,3,0.727944867
Raw_Wav_20180223_001026.wav,590.5,2.5,0.634529808
Raw_Wav_20180223_001026.wav,596,0.5,0.621553543
Raw_Wav_20180223_004026.wav,52.5,4,0.789331889
Raw_Wav_20180223_004026.wav,198.5,2,0.60634793
Raw_Wav_20180223_004026.wav,311.5,2,0.710347312
Raw_Wav_20180223_004026.wav,336.5,2.5,0.765413556
Raw_Wav_20180223_004026.wav,346.5,1,0.52009531
Raw_Wav_20180223_004026.wav,348,0.5,0.504025409
Raw_Wav_20180223_004026.wav,358.5,2.5,0.728676876
Raw_Wav_20180223_004026.wav,370.5,3,0.766940345
Raw_Wav_20180223_004026.wav,375,1.5,0.520206023
Raw_Wav_20180223_004026.wav,392.5,2.5,0.780158871
Raw_Wav_20180223_004026.wav,397,1.5,0.680842073
Raw_Wav_20180223_004026.wav,404,3,0.789220572
Raw_Wav_20180223_004026.wav,427,3,0.764853562
Raw_Wav_20180223_004026.wav,443,4.5,0.845182559
Raw_Wav_20180223_004026.wav,448,0.5,0.550493154
Raw_Wav_20180223_004026.wav,457,4,0.814909952
Raw_Wav_20180223_004026.wav,463.5,1,0.526281707
Raw_Wav_20180223_004026.wav,480.5,4,0.822621335
Raw_Wav_20180223_004026.wav,492.5,4,0.82448329
Raw_Wav_20180223_004026.wav,498,2,0.597955897
Raw_Wav_20180223_004026.wav,511,1,0.734884501
Raw_Wav_20180223_004026.wav,512,2,0.785290686
Raw_Wav_20180223_004026.wav,524.5,3.5,0.794310797
Raw_Wav_20180223_004026.wav,536.5,0.5,0.55636186
Raw_Wav_20180223_004026.wav,538.5,5,0.808430992
Raw_Wav_20180223_004026.wav,546,0.5,0.557834941
Raw_Wav_20180223_004026.wav,549.5,4.5,0.698832197
Raw_Wav_20180223_004026.wav,556,2,0.690945772
Raw_Wav_20180223_004026.wav,571.5,2.5,0.776996122
Raw_Wav_20180223_004026.wav,575.5,2.5,0.750842037
Raw_Wav_20180223_004026.wav,580,3.5,0.810221812
Raw_Wav_20180223_004026.wav,585,1.5,0.635497951
Raw_Wav_20180223_005026.wav,1,3.5,0.779260326
Raw_Wav_20180223_005026.wav,29,3,0.739507397
Raw_Wav_20180223_005026.wav,32,0.5,0.593772604
Raw_Wav_20180223_005026.wav,36.5,2,0.731018706
Raw_Wav_20180223_005026.wav,54.5,2.5,0.650756746
Raw_Wav_20180223_005026.wav,90,1,0.557419472
Raw_Wav_20180223_005026.wav,93.5,2.5,0.668557419
Raw_Wav_20180223_005026.wav,184,2.5,0.759280958
Raw_Wav_20180223_005026.wav,191.5,0.5,0.520509981
Raw_Wav_20180223_005026.wav,192,3,0.808157035
Raw_Wav_20180223_005026.wav,202,3.5,0.818610035
Raw_Wav_20180223_005026.wav,212,4.5,0.857150773
Raw_Wav_20180223_005026.wav,221,1.5,0.617721849
Raw_Wav_20180223_005026.wav,234.5,6.5,0.713801326
Raw_Wav_20180223_005026.wav,269.5,0.5,0.554320139
Raw_Wav_20180223_005026.wav,290.5,4,0.827729463
Raw_Wav_20180223_005026.wav,305.5,4.5,0.836210079
Raw_Wav_20180223_005026.wav,317.5,2.5,0.893928117
Raw_Wav_20180223_005026.wav,320,1,0.674818046
Raw_Wav_20180223_005026.wav,325,1,0.508303793
Raw_Wav_20180223_005026.wav,338,3.5,0.81374625
Raw_Wav_20180223_005026.wav,343,2,0.725557225
Raw_Wav_20180223_005026.wav,349,3,0.866118729
Raw_Wav_20180223_005026.wav,352,0.5,0.614646954
Raw_Wav_20180223_005026.wav,375.5,4,0.799722615
Raw_Wav_20180223_005026.wav,386,3,0.83343964
Raw_Wav_20180223_005026.wav,409,2.5,0.799573474
Raw_Wav_20180223_005026.wav,420,3,0.86006999
Raw_Wav_20180223_005026.wav,428,2,0.681738035
Raw_Wav_20180223_005026.wav,439.5,8,0.723013705
Raw_Wav_20180223_005026.wav,450.5,2.5,0.741230747
Raw_Wav_20180223_005026.wav,525.5,1.5,0.633224363
Raw_Wav_20180223_005026.wav,527.5,3,0.655575483
Raw_Wav_20180223_005026.wav,532,2.5,0.776421825
Raw_Wav_20180223_005026.wav,540,4,0.821126237
Raw_Wav_20180223_005026.wav,544,2,0.721222315
Raw_Wav_20180223_005026.wav,553.5,3.5,0.788737072
Raw_Wav_20180223_005026.wav,561.5,5.5,0.750386402
Raw_Wav_20180223_010026.wav,4,2,0.709640173
Raw_Wav_20180223_010026.wav,22,2,0.647323804
Raw_Wav_20180223_010026.wav,32,1.5,0.59912447
Raw_Wav_20180223_010026.wav,51,2.5,0.765238616
Raw_Wav_20180223_010026.wav,62,2,0.739460273
Raw_Wav_20180223_010026.wav,90,0.5,0.500800575
Raw_Wav_20180223_010026.wav,100.5,3,0.748261716
Raw_Wav_20180223_010026.wav,111.5,2,0.552131072
Raw_Wav_20180223_010026.wav,139,1.5,0.584986445
Raw_Wav_20180223_010026.wav,236,3.5,0.804106213
Raw_Wav_20180223_010026.wav,248.5,0.5,0.534412272
Raw_Wav_20180223_010026.wav,303.5,2.5,0.725264247
Raw_Wav_20180223_010026.wav,318.5,0.5,0.578553554
Raw_Wav_20180223_010026.wav,324,0.5,0.511709028
Raw_Wav_20180223_010026.wav,373.5,2,0.662653912
Raw_Wav_20180223_010026.wav,381,0.5,0.501047587
Raw_Wav_20180223_010026.wav,402,3,0.677188051
Raw_Wav_20180223_010026.wav,446.5,0.5,0.563777053
Raw_Wav_20180223_010026.wav,458,1.5,0.631470741
Raw_Wav_20180223_010026.wav,475,0.5,0.577935322
Raw_Wav_20180223_010026.wav,482,1,0.625155951
Raw_Wav_20180223_010026.wav,499,3,0.779092775
Raw_Wav_20180223_010026.wav,535,4.5,0.810076207
Raw_Wav_20180223_010026.wav,548,3.5,0.791588608
Raw_Wav_20180223_010026.wav,573.5,4.5,0.818387286
Raw_Wav_20180223_010026.wav,584,4.5,0.829923208
Raw_Wav_20180223_011026.wav,1,3,0.886483617
Raw_Wav_20180223_011026.wav,17,7.5,0.796621809
Raw_Wav_20180223_011026.wav,27,5,0.74458704
Raw_Wav_20180223_011026.wav,32,1,0.625522632
Raw_Wav_20180223_011026.wav,46.5,9,0.833793023
Raw_Wav_20180223_011026.wav,60,2.5,0.771984891
Raw_Wav_20180223_011026.wav,64,3.5,0.804717039
Raw_Wav_20180223_011026.wav,70,2,0.603176872
Raw_Wav_20180223_011026.wav,78,1,0.582328845
Raw_Wav_20180223_011026.wav,81.5,7,0.900965415
Raw_Wav_20180223_011026.wav,93,3,0.876216351
Raw_Wav_20180223_011026.wav,96,4,0.705430355
Raw_Wav_20180223_011026.wav,107.5,0.5,0.50103853
Raw_Wav_20180223_011026.wav,111,6,0.839508533
Raw_Wav_20180223_011026.wav,122.5,1,0.518620234
Raw_Wav_20180223_011026.wav,130.5,20,0.853987153
Raw_Wav_20180223_011026.wav,155.5,2,0.627574044
Raw_Wav_20180223_011026.wav,159,1,0.581133111
Raw_Wav_20180223_011026.wav,160,8.5,0.793231177
Raw_Wav_20180223_011026.wav,172.5,3.5,0.798344017
Raw_Wav_20180223_011026.wav,190,2,0.831714493
Raw_Wav_20180223_011026.wav,192,5.5,0.946198162
Raw_Wav_20180223_011026.wav,200.5,7,0.916625715
Raw_Wav_20180223_011026.wav,211.5,2.5,0.778285565
Raw_Wav_20180223_011026.wav,227.5,6.5,0.888231492
Raw_Wav_20180223_011026.wav,240.5,2.5,0.752721047
Raw_Wav_20180223_011026.wav,251,2.5,0.769576547
Raw_Wav_20180223_011026.wav,262,2.5,0.761505633
Raw_Wav_20180223_011026.wav,271.5,4.5,0.72738193
Raw_Wav_20180223_011026.wav,281.5,2.5,0.756654585
Raw_Wav_20180223_011026.wav,291,3.5,0.850946589
Raw_Wav_20180223_011026.wav,297.5,2,0.714996109
Raw_Wav_20180223_011026.wav,302,2,0.713438042
Raw_Wav_20180223_011026.wav,309.5,3,0.805012772
Raw_Wav_20180223_011026.wav,318,2,0.789247953
Raw_Wav_20180223_011026.wav,320,2,0.851056438
Raw_Wav_20180223_011026.wav,329.5,3,0.789188589
Raw_Wav_20180223_011026.wav,336,6,0.773631425
Raw_Wav_20180223_011026.wav,345.5,2.5,0.708593279
Raw_Wav_20180223_011026.wav,350,2,0.794276589
Raw_Wav_20180223_011026.wav,352,8.5,0.737551528
Raw_Wav_20180223_011026.wav,363.5,6.5,0.769195541
Raw_Wav_20180223_011026.wav,371.5,2,0.699543851
Raw_Wav_20180223_011026.wav,375,6.5,0.834672503
Raw_Wav_20180223_011026.wav,384.5,4,0.660885825
Raw_Wav_20180223_011026.wav,393.5,13.5,0.840955941
Raw_Wav_20180223_011026.wav,408,5.5,0.731912099
Raw_Wav_20180223_011026.wav,426.5,2.5,0.778717621
Raw_Wav_20180223_011026.wav,431,3,0.745534995
Raw_Wav_20180223_011026.wav,443.5,4.5,0.912438771
Raw_Wav_20180223_011026.wav,448,3,0.892101329
Raw_Wav_20180223_011026.wav,457,3,0.727227732
Raw_Wav_20180223_011026.wav,461,3,0.739686123
Raw_Wav_20180223_011026.wav,470.5,6.5,0.817077667
Raw_Wav_20180223_011026.wav,479.5,0.5,0.639598104
Raw_Wav_20180223_011026.wav,484.5,1.5,0.631627263
Raw_Wav_20180223_011026.wav,490,2,0.672301993
Raw_Wav_20180223_011026.wav,496,9,0.776289451
Raw_Wav_20180223_011026.wav,513,7,0.820875639
Raw_Wav_20180223_011026.wav,527,17,0.912982694
Raw_Wav_20180223_011026.wav,544,3,0.615314615
Raw_Wav_20180223_011026.wav,550.5,7,0.907435771
Raw_Wav_20180223_011026.wav,564.5,7.5,0.818325986
Raw_Wav_20180223_011026.wav,580.5,7.5,0.901855897
Raw_Wav_20180223_012026.wav,4,1,0.562304702
Raw_Wav_20180223_012026.wav,5.5,3,0.713274304
Raw_Wav_20180223_012026.wav,10.5,2.5,0.755361622
Raw_Wav_20180223_012026.wav,16.5,1.5,0.554241773
Raw_Wav_20180223_012026.wav,25.5,3,0.763871163
Raw_Wav_20180223_012026.wav,37.5,7.5,0.887640969
Raw_Wav_20180223_012026.wav,46.5,7,0.831556754
Raw_Wav_20180223_012026.wav,55,2,0.658187647
Raw_Wav_20180223_012026.wav,59.5,4.5,0.809793156
Raw_Wav_20180223_012026.wav,64,12,0.873233662
Raw_Wav_20180223_012026.wav,80,10,0.751044987
Raw_Wav_20180223_012026.wav,92,2.5,0.658650442
Raw_Wav_20180223_012026.wav,101,2.5,0.615625593
Raw_Wav_20180223_012026.wav,105,5.5,0.747458504
Raw_Wav_20180223_012026.wav,113.5,14.5,0.914858747
Raw_Wav_20180223_012026.wav,128,2.5,0.890204805
Raw_Wav_20180223_012026.wav,132,10,0.906743531
Raw_Wav_20180223_012026.wav,148.5,4.5,0.838617124
Raw_Wav_20180223_012026.wav,168.5,1,0.513560302
Raw_Wav_20180223_012026.wav,174,1,0.548411501
Raw_Wav_20180223_012026.wav,183,3,0.670316387
Raw_Wav_20180223_012026.wav,192.5,1.5,0.586016834
Raw_Wav_20180223_012026.wav,201,4.5,0.673938808
Raw_Wav_20180223_012026.wav,215,1,0.564585444
Raw_Wav_20180223_012026.wav,226,2.5,0.747583161
Raw_Wav_20180223_012026.wav,229.5,3,0.733779639
Raw_Wav_20180223_012026.wav,238.5,6,0.796205117
Raw_Wav_20180223_012026.wav,252.5,2.5,0.680684621
Raw_Wav_20180223_012026.wav,258,4,0.76551969
Raw_Wav_20180223_012026.wav,269.5,8,0.760568462
Raw_Wav_20180223_012026.wav,281,2,0.748622309
Raw_Wav_20180223_012026.wav,284.5,3.5,0.844845237
Raw_Wav_20180223_012026.wav,291.5,3,0.718970299
Raw_Wav_20180223_012026.wav,296.5,2,0.729772929
Raw_Wav_20180223_012026.wav,309.5,7.5,0.896616178
Raw_Wav_20180223_012026.wav,318.5,1.5,0.816404223
Raw_Wav_20180223_012026.wav,320,10.5,0.954518149
Raw_Wav_20180223_012026.wav,335,10.5,0.808377203
Raw_Wav_20180223_012026.wav,346.5,3,0.717488494
Raw_Wav_20180223_012026.wav,351.5,0.5,0.535117841
Raw_Wav_20180223_012026.wav,352,10.5,0.930365741
Raw_Wav_20180223_012026.wav,365,6.5,0.753041932
Raw_Wav_20180223_012026.wav,372.5,11.5,0.854276751
Raw_Wav_20180223_012026.wav,384,2,0.73660058
Raw_Wav_20180223_012026.wav,391,2.5,0.756570828
Raw_Wav_20180223_012026.wav,401.5,2.5,0.726277135
Raw_Wav_20180223_012026.wav,406,3,0.766838914
Raw_Wav_20180223_012026.wav,417,0.5,0.526068872
Raw_Wav_20180223_012026.wav,423,2,0.642954865
Raw_Wav_20180223_012026.wav,427,3,0.778807112
Raw_Wav_20180223_012026.wav,432.5,3,0.751380114
Raw_Wav_20180223_012026.wav,437.5,3,0.736701578
Raw_Wav_20180223_012026.wav,448,3.5,0.70948907
Raw_Wav_20180223_012026.wav,456.5,8,0.808083034
Raw_Wav_20180223_012026.wav,466.5,3.5,0.785490895
Raw_Wav_20180223_012026.wav,472,2.5,0.745100546
Raw_Wav_20180223_012026.wav,476.5,3.5,0.879318964
Raw_Wav_20180223_012026.wav,480,0.5,0.626678841
Raw_Wav_20180223_012026.wav,485,2.5,0.791715528
Raw_Wav_20180223_012026.wav,489.5,2.5,0.779515189
Raw_Wav_20180223_012026.wav,494.5,2.5,0.749101109
Raw_Wav_20180223_012026.wav,499,2.5,0.702781633
Raw_Wav_20180223_012026.wav,507.5,0.5,0.51039893
Raw_Wav_20180223_012026.wav,509.5,2,0.641035107
Raw_Wav_20180223_012026.wav,513.5,9,0.853642876
Raw_Wav_20180223_012026.wav,524.5,19.5,0.954865363
Raw_Wav_20180223_012026.wav,544,7.5,0.93521854
Raw_Wav_20180223_012026.wav,552.5,42,0.928676202
Raw_Wav_20180223_012026.wav,596,0.5,0.583880077
Raw_Wav_20180223_013026.wav,1,3.5,0.927521175
Raw_Wav_20180223_013026.wav,8,5.5,0.83040628
Raw_Wav_20180223_013026.wav,19.5,5.5,0.878190995
Raw_Wav_20180223_013026.wav,38,6,0.845222928
Raw_Wav_20180223_013026.wav,48,7.5,0.853432416
Raw_Wav_20180223_013026.wav,66.5,2,0.71344097
Raw_Wav_20180223_013026.wav,70.5,3.5,0.793666537
Raw_Wav_20180223_013026.wav,76.5,7,0.758169805
Raw_Wav_20180223_013026.wav,86.5,2.5,0.759577342
Raw_Wav_20180223_013026.wav,91,5,0.892889859
Raw_Wav_20180223_013026.wav,96,1.5,0.575365047
Raw_Wav_20180223_013026.wav,98,0.5,0.580392843
Raw_Wav_20180223_013026.wav,105,7.5,0.838083976
Raw_Wav_20180223_013026.wav,115.5,3,0.735846739
Raw_Wav_20180223_013026.wav,119.5,4,0.787044436
Raw_Wav_20180223_013026.wav,130.5,3,0.738079934
Raw_Wav_20180223_013026.wav,137,7,0.871631252
Raw_Wav_20180223_013026.wav,147.5,2.5,0.757295453
Raw_Wav_20180223_013026.wav,154.5,1.5,0.658191904
Raw_Wav_20180223_013026.wav,157.5,2.5,0.864551832
Raw_Wav_20180223_013026.wav,160,4.5,0.869935414
Raw_Wav_20180223_013026.wav,170,3,0.750536627
Raw_Wav_20180223_013026.wav,174.5,5.5,0.803819536
Raw_Wav_20180223_013026.wav,184,2.5,0.787699963
Raw_Wav_20180223_013026.wav,189.5,2.5,0.848902486
Raw_Wav_20180223_013026.wav,192,1,0.577936005
Raw_Wav_20180223_013026.wav,195,2.5,0.644691018
Raw_Wav_20180223_013026.wav,198.5,4.5,0.85516126
Raw_Wav_20180223_013026.wav,204.5,2.5,0.789815957
Raw_Wav_20180223_013026.wav,208.5,6,0.867039127
Raw_Wav_20180223_013026.wav,218,1.5,0.550638007
Raw_Wav_20180223_013026.wav,222.5,1.5,0.549373537
Raw_Wav_20180223_013026.wav,226.5,4.5,0.665640595
Raw_Wav_20180223_013026.wav,238,6,0.830789002
Raw_Wav_20180223_013026.wav,249,3,0.773886768
Raw_Wav_20180223_013026.wav,254,2,0.590927801
Raw_Wav_20180223_013026.wav,256,3.5,0.679628886
Raw_Wav_20180223_013026.wav,267,3.5,0.831512546
Raw_Wav_20180223_013026.wav,278.5,9.5,0.843607652
Raw_Wav_20180223_013026.wav,288,31.5,0.882046132
Raw_Wav_20180223_013026.wav,325,6,0.867052902
Raw_Wav_20180223_013026.wav,336,5,0.882903995
Raw_Wav_20180223_013026.wav,343.5,4,0.828285631
Raw_Wav_20180223_013026.wav,355.5,3.5,0.820378713
Raw_Wav_20180223_013026.wav,364.5,7.5,0.907371623
Raw_Wav_20180223_013026.wav,375,3.5,0.792843184
Raw_Wav_20180223_013026.wav,380,1.5,0.545314241
Raw_Wav_20180223_013026.wav,393,5,0.844430045
Raw_Wav_20180223_013026.wav,399.5,1.5,0.523840405
Raw_Wav_20180223_013026.wav,405,3,0.743092617
Raw_Wav_20180223_013026.wav,410,3,0.708555474
Raw_Wav_20180223_013026.wav,415.5,0.5,0.612641842
Raw_Wav_20180223_013026.wav,416,3.5,0.819875308
Raw_Wav_20180223_013026.wav,439,0.5,0.532176617
Raw_Wav_20180223_013026.wav,448,1.5,0.599852289
Raw_Wav_20180223_013026.wav,454.5,5.5,0.75984434
Raw_Wav_20180223_013026.wav,470,3.5,0.642604963
Raw_Wav_20180223_013026.wav,476.5,2.5,0.690320715
Raw_Wav_20180223_013026.wav,482.5,12.5,0.804798773
Raw_Wav_20180223_013026.wav,503,3,0.729321246
Raw_Wav_20180223_013026.wav,515,3.5,0.770929558
Raw_Wav_20180223_013026.wav,519,25,0.895287898
Raw_Wav_20180223_013026.wav,544,10,0.84306057
Raw_Wav_20180223_013026.wav,558,6,0.8053098
Raw_Wav_20180223_013026.wav,577,6,0.891704348
Raw_Wav_20180223_013026.wav,586.5,6.5,0.891972864
Raw_Wav_20180223_014026.wav,1,3,0.910101856
Raw_Wav_20180223_014026.wav,7,4,0.858035701
Raw_Wav_20180223_014026.wav,15.5,7,0.895046789
Raw_Wav_20180223_014026.wav,34,10.5,0.874437409
Raw_Wav_20180223_014026.wav,47,16.5,0.883061228
Raw_Wav_20180223_014026.wav,65,2.5,0.789790584
Raw_Wav_20180223_014026.wav,71.5,22.5,0.951399977
Raw_Wav_20180223_014026.wav,96,20.5,0.914153186
Raw_Wav_20180223_014026.wav,126,2,0.866845857
Raw_Wav_20180223_014026.wav,128,5.5,0.905193973
Raw_Wav_20180223_014026.wav,134,0.5,0.548630539
Raw_Wav_20180223_014026.wav,135.5,7,0.807084251
Raw_Wav_20180223_014026.wav,148.5,5,0.692598935
Raw_Wav_20180223_014026.wav,161,2,0.722900048
Raw_Wav_20180223_014026.wav,167.5,15.5,0.955177577
Raw_Wav_20180223_014026.wav,185.5,6.5,0.94780618
Raw_Wav_20180223_014026.wav,192,1,0.704366601
Raw_Wav_20180223_014026.wav,195.5,7.5,0.841277063
Raw_Wav_20180223_014026.wav,205.5,7.5,0.9034122
Raw_Wav_20180223_014026.wav,217,7,0.894037294
Raw_Wav_20180223_014026.wav,227,6,0.889152904
Raw_Wav_20180223_014026.wav,241,1,0.529537653
Raw_Wav_20180223_014026.wav,245.5,6.5,0.905364236
Raw_Wav_20180223_014026.wav,254.5,1.5,0.703594043
Raw_Wav_20180223_014026.wav,256,18,0.924308966
Raw_Wav_20180223_014026.wav,281.5,6.5,0.888126565
Raw_Wav_20180223_014026.wav,288,27.5,0.920773659
Raw_Wav_20180223_014026.wav,319,1,0.664492103
Raw_Wav_20180223_014026.wav,320,0.5,0.594460345
Raw_Wav_20180223_014026.wav,322,28.5,0.93462036
